Movie Title,Year,Score,Adjusted Score,Director,Synopsis,Cast,Consensus
A Nightmare on Elm Street 3: Dream Warriors,1987,72,75042,Chuck Russell," During a hallucinatory incident, young Kristen Parker (Patricia Arquette) has her wrists slashed by dream-stalking monster Freddy Krueger (Robert Englund)....","Heather Langenkamp, Patricia Arquette, Craig Wasson, Larry Fishburne",
Creepers,1985,76,77316,Dario Argento, An American (Jennifer Connelly) at a Swiss finishing school calls on insects to help a paralyzed scientist (Donald Pleasence) fight...,"Jennifer Connelly, Donald Pleasence, Dalila Di Lazzaro, Fausta Avelli",No consensus yet.
Bram Stoker's Dracula,1992,75,79872,Francis Ford Coppola, Adaptation of Bram Stoker's classic vampire novel. Gary Oldman plays Dracula whose lonely soul is determined to reunite with his...,"Gary Oldman, Winona Ryder, Anthony Hopkins, Keanu Reeves",No consensus yet.
Hellraiser,1987,72,75800,Clive Barker, Sexual deviant Frank (Sean Chapman) inadvertently opens a portal to hell when he tinkers with a box he bought while...,"Andrew Robinson, Clare Higgins, Ashley Laurence, Sean Chapman",No consensus yet.
It's Alive!,1974,70,70976,Larry Cohen," Leaving their son, Chris (Daniel Holzman), with a family friend (William Wellman Jr.), Frank (John P. Ryan) and Lenore Davis...","John P. Ryan, Sharon Farrell, Andrew Duggan, Guy Stockwell","Tough and unpleasant,"
Jacob's Ladder,1990,73,77734,Adrian Lyne," After returning home from the Vietnam War, veteran Jacob Singer (Tim Robbins) struggles to maintain his sanity. Plagued by hallucinations...","Tim Robbins, Elizabeth Pe̱a, Danny Aiello, Matt Craven","Even with its disorienting leaps of logic and structure,"
Open Water,2003,71,77198,Chris Kentis, Daniel (Daniel Travis) and Susan (Blanchard Ryan) embark on a tropical vacation with their scuba-diving certifications in tow. During a...,"Blanchard Ryan, Daniel Travis, Saul Stein, Estelle Lau",A low budget thriller with some intense moments.
The Mist,2007,71,76987,Frank Darabont," After a powerful storm damages their Maine home, David Drayton (Thomas Jane) and his young son head into town to...","Thomas Jane, Marcia Gay Harden, Laurie Holden, Andre Braugher",No consensus yet.
The Ring,2002,71,77196,Gore Verbinski, It sounds like just another urban legend -- a videotape filled with nightmarish images leads to a phone call foretelling...,"Naomi Watts, Martin Henderson, David Dorfman, Brian Cox","With little gore and a lot of creepy visuals,"
Phantasm,1979,74,76726,Don Coscarelli," The residents of a small town have begun dying under strange circumstances, leading young Mike (Michael Baldwin) to investigate. After...","Michael Baldwin, Bill Thornbury, Reggie Bannister, Kathy Lester",No consensus yet.
